,ind1,ind2,combined
9851,HIGHER EDUCATION,HIGHER EDUCATION,HIGHER EDUCATION|HIGHER EDUCATION
9852,FINANCIAL SERVICES,BANKS,FINANCIAL SERVICES|BANKS
9853,FINANCIAL SERVICES,FINANCIAL SERVICES,FINANCIAL SERVICES|FINANCIAL SERVICES
9854,ENTERTAINMENT,WINE AND SPIRITS,ENTERTAINMENT|WINE AND SPIRITS
9855,GRAPHIC DESIGN,GOVERNMENT ADMINISTRATION,GRAPHIC DESIGN|GOVERNMENT ADMINISTRATION
9856,HIGHER EDUCATION,HIGHER EDUCATION,HIGHER EDUCATION|HIGHER EDUCATION
9857,AVIATION AND AEROSPACE,AVIATION AND AEROSPACE,AVIATION AND AEROSPACE|AVIATION AND AEROSPACE
9858,PUBLISHING,PUBLISHING,PUBLISHING|PUBLISHING
9859,EDUCATION MANAGEMENT,HIGHER EDUCATION,EDUCATION MANAGEMENT|HIGHER EDUCATION
9860,FOOD AND BEVERAGES,FOOD AND BEVERAGES,FOOD AND BEVERAGES|FOOD AND BEVERAGES
9861,HIGHER EDUCATION,HIGHER EDUCATION,HIGHER EDUCATION|HIGHER EDUCATION
9862,SEMICONDUCTORS,COMMUNICATIONS EQUIPMENT,SEMICONDUCTORS|COMMUNICATIONS EQUIPMENT
9863,INSURANCE,INSURANCE,INSURANCE|INSURANCE
9864,OIL AND ENERGY,OIL AND ENERGY,OIL AND ENERGY|OIL AND ENERGY
9865,"HEALTH, WELLNESS AND FITNESS",HEALTH CARE PROVIDERS AND SERVICES,"HEALTH, WELLNESS AND FITNESS|HEALTH CARE PROVIDERS AND SERVICES"
9866,CONSUMER GOODS,BEVERAGES,CONSUMER GOODS|BEVERAGES
9867,CONSTRUCTION,CONSTRUCTION,CONSTRUCTION|CONSTRUCTION
9868,INSURANCE,INSURANCE,INSURANCE|INSURANCE
9869,PAPER AND FOREST PRODUCTS,PAPER AND FOREST PRODUCTS,PAPER AND FOREST PRODUCTS|PAPER AND FOREST PRODUCTS
9870,HIGHER EDUCATION,EDUCATION SERVICES,HIGHER EDUCATION|EDUCATION SERVICES
9871,"LEISURE, TRAVEL AND TOURISM","LEISURE, TRAVEL AND TOURISM","LEISURE, TRAVEL AND TOURISM|LEISURE, TRAVEL AND TOURISM"
9872,EDUCATION MANAGEMENT,EDUCATION MANAGEMENT,EDUCATION MANAGEMENT|EDUCATION MANAGEMENT
9873,INSURANCE,INSURANCE,INSURANCE|INSURANCE
9874,TRANSPORTATION/TRUCKING/RAILROAD,TRANSPORTATION/TRUCKING/RAILROAD,TRANSPORTATION/TRUCKING/RAILROAD|TRANSPORTATION/TRUCKING/RAILROAD
9875,MARKETING AND ADVERTISING,MACHINERY,MARKETING AND ADVERTISING|MACHINERY
9876,LOGISTICS AND SUPPLY CHAIN,LOGISTICS AND SUPPLY CHAIN,LOGISTICS AND SUPPLY CHAIN|LOGISTICS AND SUPPLY CHAIN
9877,BUILDING MATERIALS,BUILDING MATERIALS,BUILDING MATERIALS|BUILDING MATERIALS
9878,OIL AND ENERGY,OIL AND ENERGY,OIL AND ENERGY|OIL AND ENERGY
9879,DEFENSE AND SPACE,DEFENSE AND SPACE,DEFENSE AND SPACE|DEFENSE AND SPACE
9880,RETAIL,RETAIL,RETAIL|RETAIL
9881,TELECOMMUNICATIONS,DIVERSIFIED TELECOMMUNICATION SERVICES,TELECOMMUNICATIONS|DIVERSIFIED TELECOMMUNICATION SERVICES
9882,APPAREL AND FASHION,APPAREL AND FASHION,APPAREL AND FASHION|APPAREL AND FASHION
9883,UTILITIES,UTILITIES,UTILITIES|UTILITIES
9884,HOSPITAL AND HEALTH CARE,HOSPITAL AND HEALTH CARE,HOSPITAL AND HEALTH CARE|HOSPITAL AND HEALTH CARE
9885,PHARMACEUTICALS,PHARMACEUTICALS,PHARMACEUTICALS|PHARMACEUTICALS
9886,PHARMACEUTICALS,PHARMACEUTICALS,PHARMACEUTICALS|PHARMACEUTICALS
9887,INFORMATION SERVICES,INFORMATION SERVICES,INFORMATION SERVICES|INFORMATION SERVICES
9888,HUMAN RESOURCES,CONSUMER GOODS,HUMAN RESOURCES|CONSUMER GOODS
9889,BUILDING MATERIALS,AUTOMOTIVE,BUILDING MATERIALS|AUTOMOTIVE
9890,FURNITURE,SPECIALTY RETAIL,FURNITURE|SPECIALTY RETAIL
9891,INFORMATION TECHNOLOGY AND SERVICES,INFORMATION TECHNOLOGY AND SERVICES,INFORMATION TECHNOLOGY AND SERVICES|INFORMATION TECHNOLOGY AND SERVICES
9892,RETAIL,"TEXTILES, APPAREL AND LUXURY GOODS","RETAIL|TEXTILES, APPAREL AND LUXURY GOODS"
9893,OIL AND ENERGY,OIL AND ENERGY,OIL AND ENERGY|OIL AND ENERGY
9894,CONSUMER ELECTRONICS,EDUCATION MANAGEMENT,CONSUMER ELECTRONICS|EDUCATION MANAGEMENT
9895,COMPUTER SOFTWARE,COMPUTER SOFTWARE,COMPUTER SOFTWARE|COMPUTER SOFTWARE
9896,INVESTMENT MANAGEMENT,INVESTMENT MANAGEMENT,INVESTMENT MANAGEMENT|INVESTMENT MANAGEMENT
9897,RETAIL,RETAIL,RETAIL|RETAIL
9898,NONPROFIT ORGANIZATION MANAGEMENT,RETAIL,NONPROFIT ORGANIZATION MANAGEMENT|RETAIL
9899,"HEALTH, WELLNESS AND FITNESS",HEALTH CARE PROVIDERS AND SERVICES,"HEALTH, WELLNESS AND FITNESS|HEALTH CARE PROVIDERS AND SERVICES"
9900,LAW ENFORCEMENT,AUTOMOTIVE,LAW ENFORCEMENT|AUTOMOTIVE
9901,MEDICAL DEVICES,HEALTH CARE PROVIDERS AND SERVICES,MEDICAL DEVICES|HEALTH CARE PROVIDERS AND SERVICES
9902,AIRLINES/AVIATION,AIRLINES/AVIATION,AIRLINES/AVIATION|AIRLINES/AVIATION
9903,INDIVIDUAL AND FAMILY SERVICES,FAMILY SERVICES,INDIVIDUAL AND FAMILY SERVICES|FAMILY SERVICES
9904,AIRLINES/AVIATION,AIRLINES/AVIATION,AIRLINES/AVIATION|AIRLINES/AVIATION
9905,ELECTRICAL/ELECTRONIC MANUFACTURING,AIR FREIGHT AND LOGISTICS,ELECTRICAL/ELECTRONIC MANUFACTURING|AIR FREIGHT AND LOGISTICS
9906,MINING AND METALS,METALS AND MINING,MINING AND METALS|METALS AND MINING
9907,TRANSLATION AND LOCALIZATION,MEDIA,TRANSLATION AND LOCALIZATION|MEDIA
9908,INFORMATION TECHNOLOGY AND SERVICES,INFORMATION TECHNOLOGY AND SERVICES,INFORMATION TECHNOLOGY AND SERVICES|INFORMATION TECHNOLOGY AND SERVICES
9909,BANKING,BANKING,BANKING|BANKING
9910,"HEALTH, WELLNESS AND FITNESS",PHARMACEUTICALS,"HEALTH, WELLNESS AND FITNESS|PHARMACEUTICALS"
9911,HIGHER EDUCATION,DIVERSIFIED CONSUMER SERVICES,HIGHER EDUCATION|DIVERSIFIED CONSUMER SERVICES
9912,NEWSPAPERS,NEWSPAPERS,NEWSPAPERS|NEWSPAPERS
9913,COMPUTER SOFTWARE,DIVERSIFIED CONSUMER SERVICES,COMPUTER SOFTWARE|DIVERSIFIED CONSUMER SERVICES
9914,INFORMATION TECHNOLOGY AND SERVICES,INTERNET SOFTWARE AND SERVICES,INFORMATION TECHNOLOGY AND SERVICES|INTERNET SOFTWARE AND SERVICES
9915,EDUCATION MANAGEMENT,EDUCATION MANAGEMENT,EDUCATION MANAGEMENT|EDUCATION MANAGEMENT
9916,AUTOMOTIVE,AUTOMOTIVE,AUTOMOTIVE|AUTOMOTIVE
9917,CIVIL ENGINEERING,ENVIRONMENTAL SERVICES,CIVIL ENGINEERING|ENVIRONMENTAL SERVICES
9918,RETAIL,"TEXTILES, APPAREL AND LUXURY GOODS","RETAIL|TEXTILES, APPAREL AND LUXURY GOODS"
9919,OIL AND ENERGY,PROFESSIONAL SERVICES,OIL AND ENERGY|PROFESSIONAL SERVICES
9920,FINANCIAL SERVICES,GAS UTILITIES,FINANCIAL SERVICES|GAS UTILITIES
9921,HUMAN RESOURCES,BROADCAST MEDIA,HUMAN RESOURCES|BROADCAST MEDIA
9922,FINANCIAL SERVICES,INTERNET SOFTWARE AND SERVICES,FINANCIAL SERVICES|INTERNET SOFTWARE AND SERVICES
9923,AVIATION AND AEROSPACE,AVIATION AND AEROSPACE,AVIATION AND AEROSPACE|AVIATION AND AEROSPACE
9924,INFORMATION TECHNOLOGY AND SERVICES,INTERNET SOFTWARE AND SERVICES,INFORMATION TECHNOLOGY AND SERVICES|INTERNET SOFTWARE AND SERVICES
9925,STAFFING AND RECRUITING,HIGHER EDUCATION,STAFFING AND RECRUITING|HIGHER EDUCATION
9926,BROADCAST MEDIA,COMMUNICATIONS EQUIPMENT,BROADCAST MEDIA|COMMUNICATIONS EQUIPMENT
9927,RESTAURANTS,"HOTELS, RESTAURANTS AND LEISURE","RESTAURANTS|HOTELS, RESTAURANTS AND LEISURE"
9928,TRANSPORTATION/TRUCKING/RAILROAD,TRANSPORTATION/TRUCKING/RAILROAD,TRANSPORTATION/TRUCKING/RAILROAD|TRANSPORTATION/TRUCKING/RAILROAD
9929,INFORMATION TECHNOLOGY AND SERVICES,INTERNET SOFTWARE AND SERVICES,INFORMATION TECHNOLOGY AND SERVICES|INTERNET SOFTWARE AND SERVICES
9930,UTILITIES,DIVERSIFIED CONSUMER SERVICES,UTILITIES|DIVERSIFIED CONSUMER SERVICES
9931,PHARMACEUTICALS,PHARMACEUTICALS,PHARMACEUTICALS|PHARMACEUTICALS
9932,WHOLESALE,WHOLESALE,WHOLESALE|WHOLESALE
9933,FINANCIAL SERVICES,FINANCIAL SERVICES,FINANCIAL SERVICES|FINANCIAL SERVICES
9934,UTILITIES,UTILITIES,UTILITIES|UTILITIES
9935,INSURANCE,INSURANCE,INSURANCE|INSURANCE
9936,ACCOUNTING,COMMUNICATIONS EQUIPMENT,ACCOUNTING|COMMUNICATIONS EQUIPMENT
9937,BANKING,BANKING,BANKING|BANKING
9938,RETAIL,RETAIL,RETAIL|RETAIL
9939,GOVERNMENT ADMINISTRATION,GOVERNMENT ADMINISTRATION,GOVERNMENT ADMINISTRATION|GOVERNMENT ADMINISTRATION
9940,UTILITIES,UTILITIES,UTILITIES|UTILITIES
9941,GOVERNMENT ADMINISTRATION,GOVERNMENT ADMINISTRATION,GOVERNMENT ADMINISTRATION|GOVERNMENT ADMINISTRATION
9942,OUTSOURCING/OFFSHORING,OUTSOURCING/OFFSHORING,OUTSOURCING/OFFSHORING|OUTSOURCING/OFFSHORING
9943,FINANCIAL SERVICES,FINANCIAL SERVICES,FINANCIAL SERVICES|FINANCIAL SERVICES
9944,COMPUTER SOFTWARE,INTERNET SOFTWARE AND SERVICES,COMPUTER SOFTWARE|INTERNET SOFTWARE AND SERVICES
9945,MEDICAL DEVICES,PHARMACEUTICALS,MEDICAL DEVICES|PHARMACEUTICALS
9946,MANAGEMENT CONSULTING,MANAGEMENT CONSULTING,MANAGEMENT CONSULTING|MANAGEMENT CONSULTING
9947,HOSPITAL AND HEALTH CARE,PHARMACEUTICALS,HOSPITAL AND HEALTH CARE|PHARMACEUTICALS
9948,MEDICAL DEVICES,PHARMACEUTICALS,MEDICAL DEVICES|PHARMACEUTICALS
9949,COMPUTER SOFTWARE,AIR FREIGHT AND LOGISTICS,COMPUTER SOFTWARE|AIR FREIGHT AND LOGISTICS
9950,FINANCIAL SERVICES,FINANCIAL SERVICES,FINANCIAL SERVICES|FINANCIAL SERVICES
9951,MANAGEMENT CONSULTING,MANAGEMENT CONSULTING,MANAGEMENT CONSULTING|MANAGEMENT CONSULTING
9952,CIVIL ENGINEERING,INVESTMENT BANKING,CIVIL ENGINEERING|INVESTMENT BANKING
9953,FACILITIES SERVICES,CONSTRUCTION,FACILITIES SERVICES|CONSTRUCTION
9954,HIGHER EDUCATION,HIGHER EDUCATION,HIGHER EDUCATION|HIGHER EDUCATION
9955,OIL AND ENERGY,OIL AND ENERGY,OIL AND ENERGY|OIL AND ENERGY
9956,HOSPITAL AND HEALTH CARE,PHARMACEUTICALS,HOSPITAL AND HEALTH CARE|PHARMACEUTICALS
9957,FINANCIAL SERVICES,FINANCIAL SERVICES,FINANCIAL SERVICES|FINANCIAL SERVICES
9958,HOSPITAL AND HEALTH CARE,PHARMACEUTICALS,HOSPITAL AND HEALTH CARE|PHARMACEUTICALS
9959,BROADCAST MEDIA,MEDIA,BROADCAST MEDIA|MEDIA
9960,LUXURY GOODS AND JEWELRY,LUXURY GOODS AND JEWELRY,LUXURY GOODS AND JEWELRY|LUXURY GOODS AND JEWELRY
9961,MEDICAL DEVICES,HEALTH CARE PROVIDERS AND SERVICES,MEDICAL DEVICES|HEALTH CARE PROVIDERS AND SERVICES
9962,FOOD AND BEVERAGES,COMMERCIAL SERVICES AND SUPPLIES,FOOD AND BEVERAGES|COMMERCIAL SERVICES AND SUPPLIES
9963,HIGHER EDUCATION,HIGHER EDUCATION,HIGHER EDUCATION|HIGHER EDUCATION
9964,INDIVIDUAL AND FAMILY SERVICES,INDIVIDUAL AND FAMILY SERVICES,INDIVIDUAL AND FAMILY SERVICES|INDIVIDUAL AND FAMILY SERVICES
9965,BIOTECHNOLOGY,BIOTECHNOLOGY,BIOTECHNOLOGY|BIOTECHNOLOGY
9966,INFORMATION TECHNOLOGY AND SERVICES,COMMERCIAL SERVICES AND SUPPLIES,INFORMATION TECHNOLOGY AND SERVICES|COMMERCIAL SERVICES AND SUPPLIES
9967,ENVIRONMENTAL SERVICES,CHEMICALS,ENVIRONMENTAL SERVICES|CHEMICALS
9968,RETAIL,RETAIL,RETAIL|RETAIL
9969,WIRELESS,MARINE,WIRELESS|MARINE
9970,LUXURY GOODS AND JEWELRY,LUXURY GOODS AND JEWELRY,LUXURY GOODS AND JEWELRY|LUXURY GOODS AND JEWELRY
9971,SHIPBUILDING,MARINE,SHIPBUILDING|MARINE
9972,TRANSPORTATION/TRUCKING/RAILROAD,TRANSPORTATION/TRUCKING/RAILROAD,TRANSPORTATION/TRUCKING/RAILROAD|TRANSPORTATION/TRUCKING/RAILROAD
9973,MUSIC,MUSIC,MUSIC|MUSIC
9974,ACCOUNTING,DIVERSIFIED FINANCIAL SERVICES,ACCOUNTING|DIVERSIFIED FINANCIAL SERVICES
9975,INFORMATION TECHNOLOGY AND SERVICES,INFORMATION TECHNOLOGY AND SERVICES,INFORMATION TECHNOLOGY AND SERVICES|INFORMATION TECHNOLOGY AND SERVICES
9976,MEDICAL PRACTICE,MANAGEMENT CONSULTING,MEDICAL PRACTICE|MANAGEMENT CONSULTING
9977,MANAGEMENT CONSULTING,MANAGEMENT CONSULTING,MANAGEMENT CONSULTING|MANAGEMENT CONSULTING
9978,PRIMARY/SECONDARY EDUCATION,NON-PROFIT ORGANIZATION MANAGEMENT,PRIMARY/SECONDARY EDUCATION|NON-PROFIT ORGANIZATION MANAGEMENT
9979,RETAIL,FOOD AND STAPLES RETAILING,RETAIL|FOOD AND STAPLES RETAILING
9980,INFORMATION TECHNOLOGY AND SERVICES,MANAGEMENT CONSULTING,INFORMATION TECHNOLOGY AND SERVICES|MANAGEMENT CONSULTING
9981,CONSUMER SERVICES,TELECOMMUNICATIONS,CONSUMER SERVICES|TELECOMMUNICATIONS
9982,INFORMATION TECHNOLOGY AND SERVICES,"HOTELS, RESTAURANTS AND LEISURE","INFORMATION TECHNOLOGY AND SERVICES|HOTELS, RESTAURANTS AND LEISURE"
9983,COMPUTER SOFTWARE,INTERNET SOFTWARE AND SERVICES,COMPUTER SOFTWARE|INTERNET SOFTWARE AND SERVICES
9984,RETAIL,DISTRIBUTORS,RETAIL|DISTRIBUTORS
9985,EDUCATION MANAGEMENT,NEWSPAPERS,EDUCATION MANAGEMENT|NEWSPAPERS
9986,COMPUTER SOFTWARE,INTERNET SOFTWARE AND SERVICES,COMPUTER SOFTWARE|INTERNET SOFTWARE AND SERVICES
9987,MEDICAL PRACTICE,HOSPITAL AND HEALTH CARE,MEDICAL PRACTICE|HOSPITAL AND HEALTH CARE
9988,MARKETING AND ADVERTISING,COMMUNICATIONS EQUIPMENT,MARKETING AND ADVERTISING|COMMUNICATIONS EQUIPMENT
9989,HOSPITAL AND HEALTH CARE,HOSPITAL AND HEALTH CARE,HOSPITAL AND HEALTH CARE|HOSPITAL AND HEALTH CARE
9990,FINANCIAL SERVICES,DIVERSIFIED FINANCIAL SERVICES,FINANCIAL SERVICES|DIVERSIFIED FINANCIAL SERVICES
9991,GOVERNMENT ADMINISTRATION,FOOD PRODUCTS,GOVERNMENT ADMINISTRATION|FOOD PRODUCTS
9992,BROADCAST MEDIA,COMMUNICATIONS EQUIPMENT,BROADCAST MEDIA|COMMUNICATIONS EQUIPMENT
9993,RETAIL,RETAIL,RETAIL|RETAIL
9994,"LEISURE, TRAVEL AND TOURISM","LEISURE, TRAVEL AND TOURISM","LEISURE, TRAVEL AND TOURISM|LEISURE, TRAVEL AND TOURISM"
9995,ENVIRONMENTAL SERVICES,ENVIRONMENTAL SERVICES,ENVIRONMENTAL SERVICES|ENVIRONMENTAL SERVICES
9996,BIOTECHNOLOGY,UTILITIES,BIOTECHNOLOGY|UTILITIES
9997,INFORMATION TECHNOLOGY AND SERVICES,INFORMATION TECHNOLOGY AND SERVICES,INFORMATION TECHNOLOGY AND SERVICES|INFORMATION TECHNOLOGY AND SERVICES
9998,INFORMATION TECHNOLOGY AND SERVICES,INFORMATION TECHNOLOGY AND SERVICES,INFORMATION TECHNOLOGY AND SERVICES|INFORMATION TECHNOLOGY AND SERVICES
9999,LOGISTICS AND SUPPLY CHAIN,LOGISTICS AND SUPPLY CHAIN,LOGISTICS AND SUPPLY CHAIN|LOGISTICS AND SUPPLY CHAIN
10000,FOOD AND BEVERAGES,TRANSPORTATION,FOOD AND BEVERAGES|TRANSPORTATION
10001,FURNITURE,SPECIALTY RETAIL,FURNITURE|SPECIALTY RETAIL
10002,FOOD AND BEVERAGES,FOOD PRODUCTS,FOOD AND BEVERAGES|FOOD PRODUCTS
10003,REAL ESTATE,CONTAINERS AND PACKAGING,REAL ESTATE|CONTAINERS AND PACKAGING
10004,AVIATION AND AEROSPACE,INTERNET SOFTWARE AND SERVICES,AVIATION AND AEROSPACE|INTERNET SOFTWARE AND SERVICES
10005,ELECTRICAL/ELECTRONIC MANUFACTURING,FOOD AND STAPLES RETAILING,ELECTRICAL/ELECTRONIC MANUFACTURING|FOOD AND STAPLES RETAILING
10006,COMPUTER SOFTWARE,"TECHNOLOGY HARDWARE, STORAGE AND PERIPHERALS","COMPUTER SOFTWARE|TECHNOLOGY HARDWARE, STORAGE AND PERIPHERALS"
10007,AIRLINES/AVIATION,AIRLINES/AVIATION,AIRLINES/AVIATION|AIRLINES/AVIATION
10008,INVESTMENT MANAGEMENT,INVESTMENT MANAGEMENT,INVESTMENT MANAGEMENT|INVESTMENT MANAGEMENT
10009,INFORMATION TECHNOLOGY AND SERVICES,PROFESSIONAL SERVICES,INFORMATION TECHNOLOGY AND SERVICES|PROFESSIONAL SERVICES
10010,INFORMATION TECHNOLOGY AND SERVICES,INFORMATION TECHNOLOGY AND SERVICES,INFORMATION TECHNOLOGY AND SERVICES|INFORMATION TECHNOLOGY AND SERVICES
10011,INFORMATION TECHNOLOGY AND SERVICES,INFORMATION TECHNOLOGY AND SERVICES,INFORMATION TECHNOLOGY AND SERVICES|INFORMATION TECHNOLOGY AND SERVICES
10012,INFORMATION TECHNOLOGY AND SERVICES,COMPUTER SOFTWARE,INFORMATION TECHNOLOGY AND SERVICES|COMPUTER SOFTWARE
10013,BIOTECHNOLOGY,PHARMACEUTICALS,BIOTECHNOLOGY|PHARMACEUTICALS
10014,HIGHER EDUCATION,HIGHER EDUCATION,HIGHER EDUCATION|HIGHER EDUCATION
10015,BIOTECHNOLOGY,BIOTECHNOLOGY,BIOTECHNOLOGY|BIOTECHNOLOGY
10016,MANAGEMENT CONSULTING,PROFESSIONAL SERVICES,MANAGEMENT CONSULTING|PROFESSIONAL SERVICES
10017,INSURANCE,INSURANCE,INSURANCE|INSURANCE
10018,INFORMATION TECHNOLOGY AND SERVICES,INFORMATION TECHNOLOGY AND SERVICES,INFORMATION TECHNOLOGY AND SERVICES|INFORMATION TECHNOLOGY AND SERVICES
10019,AIRLINES/AVIATION,AIRLINES,AIRLINES/AVIATION|AIRLINES
10020,INFORMATION TECHNOLOGY AND SERVICES,PROFESSIONAL SERVICES,INFORMATION TECHNOLOGY AND SERVICES|PROFESSIONAL SERVICES
10021,HIGHER EDUCATION,HIGHER EDUCATION,HIGHER EDUCATION|HIGHER EDUCATION
10022,TELECOMMUNICATIONS,TELECOMMUNICATIONS,TELECOMMUNICATIONS|TELECOMMUNICATIONS
10023,CONSUMER GOODS,CONSUMER GOODS,CONSUMER GOODS|CONSUMER GOODS
10024,REAL ESTATE,REAL ESTATE,REAL ESTATE|REAL ESTATE
10025,EDUCATION MANAGEMENT,EDUCATION MANAGEMENT,EDUCATION MANAGEMENT|EDUCATION MANAGEMENT
10026,HOSPITAL AND HEALTH CARE,EDUCATION SERVICES,HOSPITAL AND HEALTH CARE|EDUCATION SERVICES
10027,COMPUTER SOFTWARE,DIVERSIFIED TELECOMMUNICATION SERVICES,COMPUTER SOFTWARE|DIVERSIFIED TELECOMMUNICATION SERVICES
10028,PHARMACEUTICALS,PHARMACEUTICALS,PHARMACEUTICALS|PHARMACEUTICALS
10029,FINANCIAL SERVICES,FINANCIAL SERVICES,FINANCIAL SERVICES|FINANCIAL SERVICES
10030,LOGISTICS AND SUPPLY CHAIN,LOGISTICS AND SUPPLY CHAIN,LOGISTICS AND SUPPLY CHAIN|LOGISTICS AND SUPPLY CHAIN
10031,MARKETING AND ADVERTISING,MARKETING AND ADVERTISING,MARKETING AND ADVERTISING|MARKETING AND ADVERTISING
10032,COMPUTER SOFTWARE,COMPUTER SOFTWARE,COMPUTER SOFTWARE|COMPUTER SOFTWARE
10033,CHEMICALS,CHEMICALS,CHEMICALS|CHEMICALS
10034,HOSPITAL AND HEALTH CARE,HOSPITAL AND HEALTH CARE,HOSPITAL AND HEALTH CARE|HOSPITAL AND HEALTH CARE
10035,CIVIC AND SOCIAL ORGANIZATION,INDIVIDUAL AND FAMILY SERVICES,CIVIC AND SOCIAL ORGANIZATION|INDIVIDUAL AND FAMILY SERVICES
10036,HUMAN RESOURCES,CHEMICALS,HUMAN RESOURCES|CHEMICALS
10037,CONSUMER GOODS,CONTAINERS AND PACKAGING,CONSUMER GOODS|CONTAINERS AND PACKAGING
10038,FOOD PRODUCTION,FOOD PRODUCTION,FOOD PRODUCTION|FOOD PRODUCTION
10039,FINANCIAL SERVICES,BANKING,FINANCIAL SERVICES|BANKING
10040,FINANCIAL SERVICES,CAPITAL MARKETS,FINANCIAL SERVICES|CAPITAL MARKETS
10041,INTERNET,PUBLISHING,INTERNET|PUBLISHING
10042,CONSUMER GOODS,CONSUMER GOODS,CONSUMER GOODS|CONSUMER GOODS
10043,COMPUTER SOFTWARE,PHARMACEUTICALS,COMPUTER SOFTWARE|PHARMACEUTICALS
10044,FOOD PRODUCTION,FOOD PRODUCTION,FOOD PRODUCTION|FOOD PRODUCTION
10045,MARKETING AND ADVERTISING,COMMUNICATIONS EQUIPMENT,MARKETING AND ADVERTISING|COMMUNICATIONS EQUIPMENT
10046,INFORMATION TECHNOLOGY AND SERVICES,INFORMATION TECHNOLOGY AND SERVICES,INFORMATION TECHNOLOGY AND SERVICES|INFORMATION TECHNOLOGY AND SERVICES
10047,INFORMATION SERVICES,INFORMATION SERVICES,INFORMATION SERVICES|INFORMATION SERVICES
10048,FURNITURE,FURNITURE,FURNITURE|FURNITURE
10049,FURNITURE,SPECIALTY RETAIL,FURNITURE|SPECIALTY RETAIL
10050,FINANCIAL SERVICES,FINANCIAL SERVICES,FINANCIAL SERVICES|FINANCIAL SERVICES
10051,COSMETICS,COSMETICS,COSMETICS|COSMETICS
10052,GOVERNMENT ADMINISTRATION,GOVERNMENT ADMINISTRATION,GOVERNMENT ADMINISTRATION|GOVERNMENT ADMINISTRATION
10053,MARKETING AND ADVERTISING,MARKETING AND ADVERTISING,MARKETING AND ADVERTISING|MARKETING AND ADVERTISING
10054,"HEALTH, WELLNESS AND FITNESS",COMMUNICATIONS EQUIPMENT,"HEALTH, WELLNESS AND FITNESS|COMMUNICATIONS EQUIPMENT"
10055,BANKING,BANKING,BANKING|BANKING
10056,ALTERNATIVE MEDICINE,"HEALTH, WELLNESS AND FITNESS","ALTERNATIVE MEDICINE|HEALTH, WELLNESS AND FITNESS"
10057,CONSUMER GOODS,CONSUMER GOODS,CONSUMER GOODS|CONSUMER GOODS
10058,AUTOMOTIVE,AUTOMOTIVE,AUTOMOTIVE|AUTOMOTIVE
10059,INVESTMENT MANAGEMENT,INVESTMENT MANAGEMENT,INVESTMENT MANAGEMENT|INVESTMENT MANAGEMENT
10060,HIGHER EDUCATION,HIGHER EDUCATION,HIGHER EDUCATION|HIGHER EDUCATION
10061,APPAREL AND FASHION,APPAREL AND FASHION,APPAREL AND FASHION|APPAREL AND FASHION
10062,BANKING,BANKS,BANKING|BANKS
10063,COMPUTER SOFTWARE,COMPUTER SOFTWARE,COMPUTER SOFTWARE|COMPUTER SOFTWARE
10064,AUTOMOTIVE,AUTOMOTIVE,AUTOMOTIVE|AUTOMOTIVE
10065,INVESTMENT MANAGEMENT,FINANCIAL SERVICES,INVESTMENT MANAGEMENT|FINANCIAL SERVICES
10066,INSURANCE,INSURANCE,INSURANCE|INSURANCE
10067,INFORMATION TECHNOLOGY AND SERVICES,INFORMATION TECHNOLOGY AND SERVICES,INFORMATION TECHNOLOGY AND SERVICES|INFORMATION TECHNOLOGY AND SERVICES
10068,AIRLINES/AVIATION,AVIATION AND AEROSPACE,AIRLINES/AVIATION|AVIATION AND AEROSPACE
10069,FINANCIAL SERVICES,FINANCIAL SERVICES,FINANCIAL SERVICES|FINANCIAL SERVICES
10070,EDUCATION MANAGEMENT,PRIMARY/SECONDARY EDUCATION,EDUCATION MANAGEMENT|PRIMARY/SECONDARY EDUCATION
10071,RETAIL,RETAIL,RETAIL|RETAIL
10072,MARKETING AND ADVERTISING,MARKETING AND ADVERTISING,MARKETING AND ADVERTISING|MARKETING AND ADVERTISING
10073,MEDICAL DEVICES,MEDICAL DEVICES,MEDICAL DEVICES|MEDICAL DEVICES
10074,EDUCATION MANAGEMENT,PROFESSIONAL SERVICES,EDUCATION MANAGEMENT|PROFESSIONAL SERVICES
10075,FOOD AND BEVERAGES,INTERNET SOFTWARE AND SERVICES,FOOD AND BEVERAGES|INTERNET SOFTWARE AND SERVICES
10076,STAFFING AND RECRUITING,PROFESSIONAL SERVICES,STAFFING AND RECRUITING|PROFESSIONAL SERVICES
10077,INSURANCE,INSURANCE,INSURANCE|INSURANCE
10078,HOSPITAL AND HEALTH CARE,PHARMACEUTICALS,HOSPITAL AND HEALTH CARE|PHARMACEUTICALS
10079,MARKETING AND ADVERTISING, MEDIA,MARKETING AND ADVERTISING| MEDIA
10080,AIRLINES/AVIATION,AIRLINES/AVIATION,AIRLINES/AVIATION|AIRLINES/AVIATION
10081,GOVERNMENT ADMINISTRATION,COMMERCIAL SERVICES AND SUPPLIES,GOVERNMENT ADMINISTRATION|COMMERCIAL SERVICES AND SUPPLIES
10082,CONSTRUCTION,REAL ESTATE,CONSTRUCTION|REAL ESTATE
10083,BANKING,BANKING,BANKING|BANKING
10084,WHOLESALE,WHOLESALE,WHOLESALE|WHOLESALE
10085,HOSPITAL AND HEALTH CARE,HIGHER EDUCATION,HOSPITAL AND HEALTH CARE|HIGHER EDUCATION
10086,MUSIC,MUSIC,MUSIC|MUSIC
10087,BANKING,TRANSPORTATION,BANKING|TRANSPORTATION
