,ind1,ind2,combined
87,HIGHER EDUCATION,PROFESSIONAL SERVICES,HIGHER EDUCATION|PROFESSIONAL SERVICES
88,EDUCATION MANAGEMENT,EDUCATION SERVICES,EDUCATION MANAGEMENT|EDUCATION SERVICES
89,HIGHER EDUCATION,DIVERSIFIED CONSUMER SERVICES,HIGHER EDUCATION|DIVERSIFIED CONSUMER SERVICES
90,GOVERNMENT ADMINISTRATION,DIVERSIFIED CONSUMER SERVICES,GOVERNMENT ADMINISTRATION|DIVERSIFIED CONSUMER SERVICES
91,HIGHER EDUCATION,"HOTELS, RESTAURANTS AND LEISURE","HIGHER EDUCATION|HOTELS, RESTAURANTS AND LEISURE"
92,INSURANCE,INSURANCE,INSURANCE|INSURANCE
93,OUTSOURCING/OFFSHORING,PROFESSIONAL SERVICES,OUTSOURCING/OFFSHORING|PROFESSIONAL SERVICES
94,UTILITIES,ELECTRICAL EQUIPMENT,UTILITIES|ELECTRICAL EQUIPMENT
95,HIGHER EDUCATION,INTERNET SOFTWARE AND SERVICES,HIGHER EDUCATION|INTERNET SOFTWARE AND SERVICES
96,MINING AND METALS,CONSTRUCTION AND ENGINEERING,MINING AND METALS|CONSTRUCTION AND ENGINEERING
97,HIGHER EDUCATION,EDUCATION SERVICES,HIGHER EDUCATION|EDUCATION SERVICES
98,BIOTECHNOLOGY,PHARMACEUTICALS,BIOTECHNOLOGY|PHARMACEUTICALS
99,HIGHER EDUCATION,DIVERSIFIED CONSUMER SERVICES,HIGHER EDUCATION|DIVERSIFIED CONSUMER SERVICES
100,FOOD AND BEVERAGES,"HOTELS, RESTAURANTS AND LEISURE","FOOD AND BEVERAGES|HOTELS, RESTAURANTS AND LEISURE"
101,FINANCIAL SERVICES,DIVERSIFIED FINANCIAL SERVICES,FINANCIAL SERVICES|DIVERSIFIED FINANCIAL SERVICES
102,INSURANCE,INSURANCE,INSURANCE|INSURANCE
103,HUMAN RESOURCES,BANKS,HUMAN RESOURCES|BANKS
104,HIGHER EDUCATION,INTERNET SOFTWARE AND SERVICES,HIGHER EDUCATION|INTERNET SOFTWARE AND SERVICES
105,HIGHER EDUCATION,PROFESSIONAL SERVICES,HIGHER EDUCATION|PROFESSIONAL SERVICES
106,HIGHER EDUCATION,INTERNET SOFTWARE AND SERVICES,HIGHER EDUCATION|INTERNET SOFTWARE AND SERVICES
107,FINANCIAL SERVICES,BANKS,FINANCIAL SERVICES|BANKS
108,FINANCIAL SERVICES,CAPITAL MARKETS,FINANCIAL SERVICES|CAPITAL MARKETS
109,INFORMATION TECHNOLOGY AND SERVICES,EDUCATION SERVICES,INFORMATION TECHNOLOGY AND SERVICES|EDUCATION SERVICES
110,MEDICAL DEVICES,PHARMACEUTICALS,MEDICAL DEVICES|PHARMACEUTICALS
111,GAMBLING AND CASINOS,"HOTELS, RESTAURANTS AND LEISURE","GAMBLING AND CASINOS|HOTELS, RESTAURANTS AND LEISURE"
112,HOSPITAL AND HEALTH CARE,HEALTH CARE PROVIDERS AND SERVICES,HOSPITAL AND HEALTH CARE|HEALTH CARE PROVIDERS AND SERVICES
113,STAFFING AND RECRUITING,PROFESSIONAL SERVICES,STAFFING AND RECRUITING|PROFESSIONAL SERVICES
114,HOSPITAL AND HEALTH CARE,HEALTH CARE PROVIDERS AND SERVICES,HOSPITAL AND HEALTH CARE|HEALTH CARE PROVIDERS AND SERVICES
115,RETAIL,COMMERCIAL SERVICES AND SUPPLIES,RETAIL|COMMERCIAL SERVICES AND SUPPLIES
116,EDUCATION MANAGEMENT,SPECIALTY RETAIL,EDUCATION MANAGEMENT|SPECIALTY RETAIL
