,total_score,industry
2034,10.47,Internet
2036,10.34,Internet
2037,10.47,Computer Software
2038,10.45,Internet
2039,10.46,Computer Software
2041,3.46,"Computer Software
"
2042,10.48,Management Consulting
2043,10.49,Broadcast Media
2044,3.45,Internet
2045,10.47,Information Technology and Services
2046,3.46,Education Management
2047,3.47,Information Technology and Services
2048,10.46,Financial Services
2049,10.44,Computer Software
2050,3.42,Computer Software
2051,3.36,Internet
2053,10.48,Internet
2054,3.3,Information Technology and Services
2055,10.47,"Leisure, Travel & Tourism"
2057,10.47,Computer Software
2058,3.46,Financial Services
2059,10.46,Information Technology and Services
2060,3.43,Internet
2061,3.43,Computer Games
2062,10.48,Internet
2063,10.44,Computer Software
2064,10.47,Higher Education
2065,10.46,Internet
2066,3.42,Government
2067,10.47,Financial Services
2068,3.43,Information Technology and Services
2069,3.45,Internet
2070,10.48,Real Estate
2071,10.47,Computer games
2073,8.39,"Information Collection & Delivery,Media & Internet,Custom Software & Technical Consulting,Software,Search Engines & Internet Portals"
2074,10.45,Information Technology and Services
2075,10.5,Construction
2076,10.48,Retail
2077,3.42,Government Administration
2078,3.42,Computer Software
2079,3.47,Computer Software
2080,3.42,Internet
2081,10.49,Computer Networking
2082,10.4,Computer Software
2083,3.42,Information Technology and Services
2085,10.34,Computer Software
2086,3.43,Computer Software
2087,10.48,International Trade and Development
2088,3.47,Computer Software
2089,3.47,Computer Software
2090,2.43,Internet
2091,3.42,Internet
2092,3.43,Computer Software
2093,3.44,"Computer Software
"
2094,3.43,Computer Software
2095,10.45,Information Technology and Services
2096,3.44,Internet
2097,10.48,Information Technology and Services
2098,3.46,Computer Software
2099,10.48,Marketing and Advertising
2100,10.48,Design
2103,3.46,Information Technology and Services
2104,3.47,Consumer Finance
2108,10.54,E-Learning
2109,3.43,Enterprise Software
2110,3.46,Universities
2111,3.46,Hospitality
2112,3.46,Internet
2113,10.47,Computer Software
2115,3.43,Telecommunications
2116,3.42,Computer Software
2117,10.47,Financial Services
2120,3.47,Broadcast Media
2122,10.47,Computer Software
2123,3.42,Internet
2124,3.45,Internet
2126,3.43,Internet Software
2127,10.48,Media Production
2128,3.45,Human Resources
2129,3.47,Computer Software
2131,3.43,"SaaS, Software"
2132,10.38,"Information Technology and Services
"
2133,10.44,"Manufacturing,Telecommunication Equipment,Computer Networking Equipment,Computer Equipment & Peripherals,Telecommunications,Internet Service Providers, Website Hosting & Internet-related Services"
2134,3.43,archetechand planning
2136,10.45,Computer Hardware
2137,10.44,Computer Software
2138,3.44,Computer Software
2139,10.46,Marketing and Advertising
2140,3.45,Nonprofit Organization Management
2141,3.47,Education Management
2142,10.46,Computer Software
2143,10.48,International Trade and Development
2144,3.48,Financial Services
2145,3.47,"Health Care, Advertising, Life Science"
2146,3.46,Retail
2147,10.47,Internet
2148,3.42,Internet
2150,10.48,Information Technology and Services
2151,10.56,"Software Development & Design,Software,Custom Software & Technical Consulting,Customer Relationship Management Software(CRM)"
2152,3.43,Food & Beverages
2154,3.44,Financial Services
2156,10.48,Information Technology and Services
2157,3.43,Information Technology and Services
2158,10.41,Broadcast Media
2159,3.42,Information Technology and Services
2160,10.47,Security and Investigations
2161,3.43,Insurance
2162,3.45,Computer Software
2163,10.44,Computer Software
2164,3.42,Computer Software
2165,10.47,Information Technology and Services
2166,3.46,Information Technology and Services
2167,2.43,Online Media
2168,10.46,Consumer Electronics
2169,3.47,Internet
2170,10.42,Computer Software
2171,3.46,Information Technology and Services
2172,3.45,Telecommunications
2174,10.48,Information Technology and Services
2175,10.47,Sports
2177,10.49,Computer software
2178,3.43,Information Technology and Services
2179,4.47,"Information Collection & Delivery,Media & Internet,Publishing,Commercial Printing,Business Services,Custom Software & Technical Consulting,Law Firms & Legal Services,Software,Finance,Telecommunications"
2180,3.47,Information Technology and Services
2181,3.45,Consumer Electronics
2182,2.47,Information Technology and Services
2184,10.49,"Health, Wellness and Fitness"
2185,3.48,Computer Software
2186,10.46,Research
2188,2.42,Biotechnology
2189,10.46,"Telecommunication Equipment,Manufacturing,Software Development & Design,Software,Telecommunications"
2190,4.47,"
Financial Services"
2191,3.34,Computer software
2192,3.43,"Software Development & Design,Software,Custom Software & Technical Consulting"
2193,3.44,"Software Development & Design,Software,Custom Software & Technical Consulting"
2194,3.46,Hospitality
2195,2.43,"Software Development & Design,Software"
2196,3.47,"Software Development & Design,Software,Custom Software & Technical Consulting"
2197,4.46,Computer software
2198,3.41,Internet
2199,3.48,Wireless
2200,2.43,Biotechnology
2201,3.25,"Government,Custom Software & Technical Consulting,Software"
2202,2.45,Events Services
2203,4.45,Information Technology and Services
2204,3.47,Marketing and Advertising
2205,3.47,Management Consulting
2206,3.47,"Software Development & Design,Software,Engineering Software,Business Intelligence Software(BI),Enterprise Resource Planning Software(ERP)"
2207,2.42,Internet
2208,3.47,Retail
2209,2.42,Information Technology and Services
2211,3.47,Computer Software
2212,3.48,Computer Software
2213,3.44,Computer Software
2215,3.43,"Industrial Machinery & Equipment,Manufacturing,Household Goods,Miscellaneous Building Materials - Flooring, Cabinets, etc.,Building Materials,Consumer Goods,Metals & Minerals,Construction,Metals & Mining"
2216,4.45,Computer Software
2217,3.45,"Apparel & Accessories,Retail"
2218,10.5,"Software Development & Design,Software,Engineering Software,Business Intelligence Software(BI),Enterprise Resource Planning Software(ERP)"
2219,10.47,Computer Software
2220,10.45,Computer software
2221,3.49,Computer Software
2222,10.46,Financial Services
2223,3.44,Computer Software
2224,3.48,"Medical Devices & Equipment,Manufacturing,Drug Manufacturing & Research,Pharmaceuticals,Healthcare"
2225,10.47,Marketing and Advertising
2228,10.47,Comnsumer Services
2229,10.46,International Trade and Development
2230,3.45,Computer Software
2231,3.46,"Software Development & Design,Software,Engineering Software"
2232,10.42,Computer Software
2233,10.47,Computer software
2234,3.47,Information Technology and Services
2235,10.48,Computer Software
2237,10.47,Internet
2238,10.47,Information Technology and Services
2240,2.44,Consumer Electronics
2241,3.47,"Software Development & Design,Software,Financial, Legal & HR Software,Accounting & Accounting Services,Business Services,Engineering Software"
2242,10.48,Education Management
2244,10.45,"Human Resources & Staffing,Business Services"
2245,10.48,Computer Games
2246,3.41,Information Technology and Services
2247,10.47,E-Learning
2249,10.55,Information Technology and Services
2250,10.45,Media Production
2253,3.44,"Wineries & Breweries,Food, Beverages & Tobacco,Manufacturing"
2255,10.45,Internet
2256,3.44,"Software Development & Design,Software,Custom Software & Technical Consulting"
2257,3.49,Consumer Services
2258,10.47,E learning
2259,10.5,Online Media
2260,10.47,Semiconductors
2261,10.47,"Search Engines & Internet Portals,Media & Internet,Information Collection & Delivery"
2262,10.45,Computer Software
2263,3.47,Computer Software
2264,10.46,Financial Services
2265,3.44,Computer software
2266,10.47,Internet
2268,3.47,Information Technology and Services
2269,3.29,Computer Software
2271,3.43,"Custom Software & Technical Consulting,Software"
2273,3.5,Writing and Editing
2274,10.46,"Medical Testing & Clinical Laboratories,Healthcare"
2275,10.45,Program Development
2276,3.42,Government Administration
2278,3.56,Computer Software
2279,3.4,"Gambling & Gaming,Recreation,Hospitality"
2280,10.48,Information Technology and Services
2281,3.46,Computer Software
2282,10.47,Industrial Automation
2283,3.45,Information Technology and Services
2284,10.44,Computer Software
2285,10.47,"Marketing and Advertising
"
2286,10.47,Internet
2287,3.45,Apparel & Fashion
2289,3.48,"Software Development & Design,Software,Engineering Software,Business Intelligence Software(BI),Enterprise Resource Planning Software(ERP)"
2290,3.47,"Human Resources & Staffing,Business Services"
2291,10.45,"Software Development & Design,Software,Engineering Software"
2292,10.48,Food & Beverages
2293,3.47,Nonprofit Organization Management
2294,3.43,Financial Services
2295,3.38,"Software Development & Design,Software,Financial, Legal & HR Software,Engineering Software"
2296,3.44,Marketing and Advertising
2298,10.45,"Software Development & Design,Software,Engineering Software,Business Intelligence Software(BI),Enterprise Resource Planning Software(ERP)"
2299,10.48,internet
2301,3.47,Real Estate
2302,3.43,Computer Software
2303,10.46,Gambling & Casinos
2304,3.44,Internet
2305,4.45,Computer Software
2306,10.43,Computer Software
2307,10.48,Financial Services
2308,3.47,Computer Games
2309,3.43,Entertainment
2310,3.34,Market Research
2311,3.46,Computer Software
2312,3.44,Media Production
2313,3.48,Financial Services
2315,3.45,Universities
2316,4.48,Computer Software
2317,3.44,"Health, Wellness and Fitness"
2318,3.47,Retail
2319,3.48,Internet
2320,3.46,"Software Development & Design,Software"
2321,3.56,"Advertising & Marketing,Business Services,Search Engines & Internet Portals,Media & Internet"
2324,10.46,Design
2325,2.47,"Airlines, Airports & Air Services,Transportation"
2326,10.23,Computer software
2328,10.47,Financial Services
2329,3.45,Hospital & Health Care
2330,10.37,Computer Software
2331,3.45,"Personal Computers & Peripherals,Computer Equipment & Peripherals,Manufacturing,Software Development & Design,Software,Consumer Electronics,Consumer Goods,Custom Software & Technical Consulting,Network Security Hardware & Software"
2332,3.48,Computer Software
2333,10.44,Marketing and Advertising
2334,10.47,"Software Development & Design,Software,Engineering Software,Business Intelligence Software(BI),Enterprise Resource Planning Software(ERP)"
2335,10.49,Internet
2336,3.46,Computer Software
2338,3.45,"Custom Software & Technical Consulting,Software,Software Development & Design"
2339,10.47,Computer Games
2340,3.49,Information Technology and Services
2341,3.45,"Human Resources & Staffing,Business Services,Engineering Software,Software Development & Design,Software"
2342,10.49,Information Technology and Services
2343,3.49,Internet
2345,10.44,"Jive Communications, Inc"
2346,3.47,Computer Software
2347,3.47,"Custom Software & Technical Consulting,Software,Software Development & Design"
2348,3.44,Information Technology and Services
2349,3.47,Information Technology and Services
2350,3.52,Marketing and Advertising
2352,10.44,Marketing and Advertising
2353,10.43,Internet
2354,3.41,Internet
2355,3.4,Higher education
2356,3.47,Financial Services
2358,3.51,"Software Development & Design,Software,Engineering Software"
2359,10.46,Computer Software
2360,10.47,Internet
2361,10.47,Financial Services
2362,3.41,Computer Software
2363,10.47,Computer Software
2364,3.44,Computer Software
2365,3.43,Marketing and Advertising
2366,3.4,Food & Beverages
2367,3.46,"Hospitals & Clinics,Healthcare,Information Collection & Delivery,Media & Internet"
2368,10.49,Information Technology and Services
2369,3.44,Computer Software
2370,3.39,Computer Software
2371,3.46,Education Management
2372,3.48,Computer Software
2373,3.46,Arts and Crafts
2374,3.49,Colleges
2375,3.43,Ranching
2376,10.47,Computer Games
2377,10.48,Internet
2378,3.4,Computer Software
2379,3.43,Online Media
2380,2.45,Computer Software
2382,3.44,Financial Services
2383,3.75,Retail
2384,3.37,Marketing and Advertising
2387,10.47,"Health, Wellness and Fitness"
2390,3.4,Internet
2391,10.47,Financial Services
2392,3.42,Marketing and Advertising
2393,3.46,E-Learning
2395,3.38,Computer Software
2396,10.49,Telecommunications
2397,3.47,Telecommunications
2398,10.48,Computer Software
2400,3.43,Information Technology and Services
2401,3.42,Internet
2402,3.43,Management Consulting
2404,3.47,Farming
2405,3.47,Facilities Services
2406,10.47,Telemunication
2407,4.39,Higher Education
2408,3.43,Construction
2409,3.46,Investment Management
2410,10.43,"Software Development & Design,Software,Engineering Software,Business Intelligence Software(BI),Enterprise Resource Planning Software(ERP)"
2411,10.47,Internet
2412,3.42,Information Technology and Services
2413,3.42,Computer Software
2415,10.46,"Software Development & Design,Software,Engineering Software,Business Intelligence Software(BI),Enterprise Resource Planning Software(ERP)"
2416,3.44,Internet Software
2418,3.43,Internet
2419,3.42,Universities
2420,10.46,Marketing and Advertising
2421,3.49,Entertainment
2422,10.48,"Software Development & Design,Software"
2423,3.44,"Software Development & Design,Software"
2424,2.47,retail
2425,3.48,Industrial Automation
2426,3.36,"Software Development & Design,Software"
2427,3.44,Computer Software
2428,10.48,"Colleges & Universities,Education"
2429,2.46,Application Software 
2430,10.42,"Software Development & Design,Software,Search Engines & Internet Portals,Media & Internet"
2431,2.41,Electric Utilities
2432,10.46,Hospital & Health Care
2433,10.47,"Software Development & Design,Software,Engineering Software,Business Intelligence Software(BI),Enterprise Resource Planning Software(ERP)"
2434,3.4,Information Technology and Services
2435,3.47,Telecommunications
2436,3.36,Information Technology and Services
2437,3.44,Retail
2439,3.45,"Custom Software & Technical Consulting,Software,Telephony & Wireless,Telecommunications,Content & Collaboration Software,Software Development & Design"
2441,3.44,Information Technology and Services
2442,3.47,Marketing and Advertising
2443,3.45,internet
2445,10.45,computer software
2446,10.47,Information Technology and Services
2447,3.42,computer games
2448,10.47,Internet
2449,3.46,"Software Development & Design,Software,Engineering Software"
2450,10.23,"Software Development & Design,Software,Engineering Software,Business Intelligence Software(BI),Enterprise Resource Planning Software(ERP)"
2451,10.5,Computer Software
2452,3.44,Computer software
2454,10.42,Computer Software
2455,10.44,Telecommunications
2456,3.42,ITS
2458,2.56,Internet
2459,3.46,Venture Capital & Private Equity
2460,10.48,computer software
2461,3.41,Marketing and Advertising
2462,3.48,Educational management
2463,10.36,Computer Software
2467,10.44,"Commercial & Residential Construction,Construction"
2471,3.48,Program Development
2473,3.48,Computer Software
2476,3.45,Computer Software
2477,3.42,Government Administration
2478,10.45,Farming
2482,10.48,Information Technology and Services
2483,2.61,Internet
2488,10.46,Market Research
2496,10.51,Information Technology and Services
2500,3.44,Computer Software
2503,10.48,"Internet
"
2505,3.45,"Sports Teams & Leagues,Hospitality"
2513,3.44,Internet
2515,10.51,Computer Software
2516,3.46,"Software Development & Design,Software"
2517,3.45,Computer Hardware
2519,3.47,Information Technology and Services
2520,3.42,Information Technology and Services
2521,3.42,Information Technology and Services
2522,10.47,Food & Beverages
2525,3.42,internet
2528,3.43,Retail
2529,2.4,Computer Software
2530,3.44,Computer Software
2531,3.46,Computer software
2532,3.43,Higher Education
2533,10.45,Information Technology and Services
2534,3.43,"Software Development & Design,Software,Custom Software & Technical Consulting"
2535,3.46,Information Technology and Services
2536,4.47,Online Media
2537,3.47,Hospital & Health Care
2538,3.43,Financial Services
2539,3.4,Information Services
2540,3.41,Computer Networking
2541,3.43,Computer Software
2542,3.46,Computer Software
2543,3.43,Real Estate
2546,3.43,Consumer Electronics
2547,10.41,Computer Software
2548,3.44,Design
2549,3.48,Education Management
2550,10.48,Entertainment
2551,3.46,Information Technology and Services
2552,2.43,Design
2553,10.48,Computer Software
2554,3.46,Apparel & Fashion
2555,10.48,"Commercial & Residential Construction,Construction"
2556,3.46,Entertainment
2557,10.39,Biotechnology
2558,10.47,Media Production
2559,10.47,"Computer Software
"
2560,3.43,"Software Development & Design,Software,Engineering Software"
2562,3.46,Computer Software
2564,10.46,"Software Development & Design,Software,Engineering Software,Business Intelligence Software(BI),Enterprise Resource Planning Software(ERP)"
2566,2.44,Marketing and Advertising
2567,3.47,"Manufacturing,Telecommunication Equipment,Computer Networking Equipment,Computer Equipment & Peripherals,Telecommunications,Internet Service Providers, Website Hosting & Internet-related Services"
2568,10.48,Internet
2569,10.48,Computer Software
2570,3.43,Financial Services
2572,3.47,Financial Services
2573,3.44,"Travel Agencies & Services,Consumer Services,Hospitality,Transportation"
2575,3.47,"Advertising & Marketing,Business Services"
2576,10.45,Computer software
2577,3.46,Medical Devices
2578,10.47,"Software Development & Design,Software,Advertising & Marketing,Business Services,Networking Software"
2579,3.44,Higher Education
2580,3.47,Information Technology and Services
2581,3.43,"Software Development & Design,Software,Engineering Software,Business Intelligence Software(BI),Enterprise Resource Planning Software(ERP)"
2582,3.59,"Publishing,Media & Internet"
2583,2.45,Internet
2584,3.47,Food & Beverages
2586,3.47,Marketing and Advertising
2588,3.4,"Advertising & Marketing,Business Services"
2589,3.44,"Training,Education"
2590,10.5,Information Technology and Services
2591,10.34,Computer Games
2592,10.48,Computer Software
2593,3.43,Financial Services
2594,3.43,Financial Services
2595,3.43,Financial Services
2596,3.43,Financial Services
2597,10.47,Information Technology and Services
2598,2.47,Computer Software
2599,10.47,Oil & Energy
2600,10.35,Education Management
2601,3.49,Information Technology and Services
2602,3.45,Information Technology and Services
2603,3.44,Biotechnology
2604,3.38,Aviation & Aerospace
2607,3.43,Information Technology and Services
2608,3.43,Information Technology and Services
2609,3.43,Information Technology and Services
2610,3.45,Higher education
2612,3.44,Transportation/Trucking/Railroad
2613,3.46,"Membership Organizations,Organizations,Banking,Finance"
2616,3.43,information technologies and services
2617,3.43,information technologies and services
2618,3.43,information technologies and services
2619,3.48,Environmental Services
2620,10.42,"Electricity, Oil & Gas,Energy, Utilities & Waste Treatment"
2621,3.41,Oil & Energy
2622,2.46,Computer software
2623,4.47,Computer Software
2624,10.46,Computer Software
2625,10.46,Entertainment
2626,3.43,Information Technology and Services
2627,3.43,Information Technology and Services
2628,3.43,Information Technology and Services
2630,4.45,"Software Development & Design,Software,Engineering Software,Business Intelligence Software(BI),Enterprise Resource Planning Software(ERP)"
2631,3.43,information technologies and services
2632,3.43,information technologies and services
2633,3.43,information technologies and services
2634,3.43,Financial Services
2635,3.43,Financial Services
2636,3.43,Financial Services
2637,3.43,Financial Services
2638,3.43,Computer Software
2639,3.43,Financial Services
2640,3.43,Financial Services
2641,3.43,Financial Services
2642,3.43,Financial Services
2643,3.44,E-Learning
2644,3.43,information technologies and services
2645,3.43,information technologies and services
2646,3.43,information technologies and services
2647,10.46,Computer Software
2648,3.48,Internet
2650,10.48,Publishing
2651,10.48,Information Technology and Services
2652,10.48,"Training,Education,Management Consulting,Software Development & Design,Business Services,Software"
2653,10.48,Computer Software
2654,10.48,Information Technology and Services
2655,10.43,Financial Services
2656,4.4,Retail
2657,10.49,Construction
2658,10.47,Public Policy
2660,2.45,Consumer Electronics
2661,3.45,Computer & Network Security
2662,10.49,"Chemicals,Chemicals, Petrochemicals, Glass & Gases,Manufacturing"
2663,2.45,Information Technology and Services
2664,3.4,Medical Devices
2666,3.46,"Credit Cards & Transaction Processing,Finance,Computer Equipment & Peripherals,Software Development & Design,Office Products,Telecommunication Equipment,Manufacturing,Retail,Software"
2668,10.48,"Software Development & Design,Software,Search Engines & Internet Portals,Media & Internet"
2669,3.45,Information Technology and Services
2670,3.46,"Information & Document Management,Business Services,Custom Software & Technical Consulting,Software"
2671,3.47,Internet
2672,10.47,Retail
2673,2.48,Human Resources
2674,3.44,Hospital & Health Care
2675,4.43,Information Technology and Services
2676,3.44,Online Media
2677,10.43,Information Services
2679,2.45,Logistics and Supply Chain
2680,3.43,"Search Engines & Internet Portals,Media & Internet,Apparel & Accessories,Retail,Software Development & Design,Software"
2681,3.45,Computer Games
2682,3.43,Government Administration
2683,10.46,"Search Engines & Internet Portals,Media & Internet"
2684,3.47,Environmental Services
2685,3.43,Internet
2686,3.49,Computer Software
2687,3.44,Online Media
2688,10.48,Computer Games
2690,3.5,"Human Resources & Staffing,Business Services"
2691,3.44,Security and Investigations
2692,3.48,"Engineering Software,Software Development & Design,Software"
2693,4.44,"Information Collection & Delivery,Media & Internet"
2694,3.44,"Training,Education"
2696,3.48,Information Technology and Services
2697,3.45,Internet
2698,3.39,Computer Games
2699,3.45,Gambling & Casinos
2700,10.48,Computer Software
2701,10.47,Computer Software
2702,3.45,Computer Software
2703,3.47,Gambling & Casinos
2704,3.45,Computer Games
2705,3.45,Information Technology and Services
2707,3.46,Media Production
2708,10.44,Internet
2709,4.47,Insurance
2711,3.43,Banking
2712,2.46,"Medical Devices & Equipment,Manufacturing,Healthcare"
2713,3.47,Internet
2714,3.46,Marketing and Advertising
2715,3.38,"Charitable Organizations & Foundations,Organizations"
2716,9.26,Information Technology and Services
2717,3.42,"Television Stations,Broadcasting,Media & Internet"
2718,2.46,Information Technology and Services
2719,10.45,Computer Software
2720,10.51,"Software Development & Design,Software,Search Engines & Internet Portals,Media & Internet"
2721,3.45,"Software Development & Design,Software,Electronics,Manufacturing,Batteries, Power Storage Equipment & Generators,Power Conversion & Protection Equipment,Medical Devices & Equipment,Test & Measurement Equipment"
2722,10.45,Marketing and Advertising
2723,3.47,"Software Development & Design,Software,Financial, Legal & HR Software"
2724,3.44,Investment Banking
2725,10.46,Internet
2726,10.46,"Grocery,Retail"
2727,3.44,Computer Software
2728,3.47,Information Technology and Services
2729,3.47,Information Technology and Services
2730,2.46,"Software Development & Design,Software,Network Security Hardware & Software,Computer Equipment & Peripherals,Manufacturing,Industrial Machinery & Equipment"
2731,3.47,Information Technology and Services
2732,4.41,Marketing and Advertising
2733,3.41,Marketing and Advertising
2734,3.47,Information Technology and Services
2735,2.47,Internet
2736,3.44,Computer Software
2738,3.47,Automotive
2739,3.45,Comnsumer Services
2740,10.47,Computer Software
2741,10.47,Computer Software
2742,10.44,Information Technology and Services
2743,3.45,Internet
2745,3.4,Internet
2747,3.48,Financial Services
2748,3.44,"Network Security Hardware & Software,Computer Equipment & Peripherals,Manufacturing,Telecommunication Equipment"
2749,4.42,Computer Software
2750,4.43,Computer Software
2751,2.47,Information Technology and Services
2752,3.46,Computer Software
2753,10.49,Computer Hardware
2754,3.4,"Software Development & Design,Software,Engineering Software,Business Intelligence Software(BI),Enterprise Resource Planning Software(ERP)"
2756,10.48,internet
2757,3.46,Human Resources
2758,3.46,Mobile Applications
2759,2.46,Computer Software
2760,3.45,Internet
2761,3.47,Civil Engineering
2762,3.42,Arts and Crafts
2763,10.47,Hospital & Health Care
2764,3.45,Information Technology and Services
2765,2.46,Internet
2767,2.45,Financial Services
2768,3.46,ITS
2769,4.47,Sports
2770,10.49,"Health, Wellness and Fitness"
2771,3.45,Consumer Goods
2772,3.44,Internet
2773,3.46,Information Technology and Services
2774,3.39,"Construction,Accounting & Accounting Services,Business Services"
2775,3.47,Construction
2777,3.48,"Custom Software & Technical Consulting,Software,K-12 Schools,Education"
2778,4.66,Computer Software
2779,3.47,Renewables & Environment
2780,3.46,Media Production
2781,10.48,sports
2782,4.41,Law Practice
2783,3.43,Computer Software
2784,4.46,E-Learning
2785,3.42,Information Technology and Services
2786,3.47,philantropy
2787,10.48,Computer Software
2788,2.46,"Health, Wellness and Fitness"
2789,2.45,"Network Security Hardware & Software,Computer Equipment & Peripherals,Manufacturing,Consumer Electronics,Consumer Goods,Telecommunication Equipment,Custom Software & Technical Consulting,Software"
2790,10.42,Financial Services
2791,3.48,Computer Hardware
2792,10.65,Internet
2793,10.5,Computer Software
2794,3.43,"Custom Software & Technical Consulting,Software,Software Development & Design"
2795,3.42,Wireless
2796,10.48,Internet
2797,3.45,"Telephony & Wireless,Telecommunications"
2798,2.45,Program Development
2799,3.41,Computer Software
2801,2.47,Information Technology and Services
2802,3.44,Information Technology and Services
2803,10.47,Internet
2804,3.41,Internet
2805,3.43,music
2806,10.51,fiancial services
2807,3.42,Computer Software
2808,10.46,Information Services
2809,3.39,Computer Software
2810,3.47,Computer Software
2811,3.4,Information Technology and Services
2812,3.45,computer software
2813,10.46,Investment Management
2814,3.47,Internet
2815,3.46,Medical Devices
2816,10.52,Internet
2817,3.44,banking
2819,3.45,Retail
2820,3.39,Telecommunications
2821,3.46,Internet
2822,3.47,Management Consulting
2823,4.44,Internet
2824,3.47,Marketing and Advertising
2825,3.43,Retail
2826,2.42,Machinery
2829,2.41,Semiconductors
2830,10.45,food and beverage
2831,3.47,Internet
2832,3.42,Computer Software
2833,3.47,Telecommunications
2834,3.47,"Health, Wellness and Fitness"
2835,3.47,Financial Services
2836,10.48,biotechnology
2838,10.47,Internet
2839,10.47,Social network
2840,3.42,"Health, Wellness and Fitness"
2841,4.44,Financial Services
2842,3.44,internet
2843,3.4,"Colleges & Universities,Education"
2844,3.44,Accounting
2846,3.46,"Software Development & Design,Software,Engineering Software,Custom Software & Technical Consulting"
2847,10.49,"Software Development & Design,Software,Search Engines & Internet Portals,Media & Internet"
2848,10.5,Program Development
2849,10.48,"Banking,Finance"
2850,3.47,Information Technology and Services
2851,3.47,International Trade and Development
2852,10.49,"Software Development & Design,Software,Consumer Electronics,Consumer Goods,Telecommunication Equipment,Manufacturing,Engineering Software"
2853,3.46,Political Organization
2854,2.47,"Software Development & Design,Software"
2855,3.49,International Trade and Development
2857,3.47,Computer Software
2858,3.45,"Software Development & Design,Software"
2862,10.49,"Computer Games
"
2864,3.43,"Business Services,Advertising & Marketing,Management Consulting"
2865,10.46,Internet
2866,10.45,"Software Development & Design,Software,Financial, Legal & HR Software"
2867,10.49,Telecommunications
2868,3.47,Compter Software
2870,10.53,Logistics and Supply Chain
2871,3.48,Apparel & Fashion
2873,3.44,Computer Software
2874,3.34,"Cleaning Products,Consumer Goods,Manufacturing,Household Goods,Home Improvement & Hardware,Retail"
2875,3.38,Internet
2876,10.46,Information Technology and Services
2877,10.47,Entertainment
2878,3.42,"Charitable Organizations & Foundations,Organizations,Construction,Consumer Services,Facilities Management & Commercial Cleaning,Business Services,Waste Treatment, Environmental Services & Recycling,Energy, Utilities & Waste Treatment"
2879,3.47,Insurance
2880,4.43,Computer software
2882,3.42,"Software Development & Design,Software,Publishing,Media & Internet"
2883,10.48,E-learning
2884,3.44,"Personal Computers & Peripherals,Computer Equipment & Peripherals,Manufacturing,Consumer Electronics & Computers,Retail,Batteries, Power Storage Equipment & Generators,Electronic Components,Electronics,Custom Software & Technical Consulting,Software,Semiconductor & Semiconductor Equipment"
2885,10.34,Oil & Energy
2886,2.47,"Freight & Logistics Services,Transportation"
2887,3.47,Internet
2888,3.44,Information Technology and Services
2889,10.47,Insurance
2890,3.43,"Software Development & Design,Software"
2891,3.46,Information Technology and Services
2892,10.47,Government
2893,3.47,Computer Software
2895,4.48,"Colleges & Universities,Education"
2896,3.47,Information Technology and Services
2897,3.39,Information Technology and Services
2898,3.47,"Software Development & Design,Software,Engineering Software,Business Intelligence Software(BI),Enterprise Resource Planning Software(ERP)"
2899,10.48,"Software Development & Design,Software,Engineering Software,Business Intelligence Software(BI),Enterprise Resource Planning Software(ERP)"
2900,3.47,Internet
2901,3.44,Research
2902,10.55,Computer Games
2903,2.45,Information Technology and Services
2904,10.47,Financial Services
2906,3.43,Computer Software
2907,3.45,Computer Software
2908,3.45,"Software Development & Design,Software,Engineering Software,Custom Software & Technical Consulting"
2909,3.44,"Colleges & Universities,Education"
2910,3.44,Publishing
2911,3.46,Primary/Secondary Education
2912,3.48,"Engineering Software,Software Development & Design,Software"
2913,10.47,Internet
2915,3.42,Sports
2917,3.46,Internet
2918,3.41,Electrical/Electronic Manufacturing
2920,3.46,Pharmaceuticals
2921,3.44,Information Technology and Services
2922,3.43,"Information Collection & Delivery,Media & Internet,Publishing,Commercial Printing,Business Services,Custom Software & Technical Consulting,Law Firms & Legal Services,Software,Finance,Telecommunications"
2923,2.45,Information Technology and Services
2924,3.47,Consumer Electronics
2925,3.48,Environmental Services
2926,4.37,"Software Development & Design,Software,Engineering Software,Consumer Electronics,Consumer Goods,Telecommunication Equipment,Manufacturing"
2927,3.48,Computer software
2928,10.45,Computer Software
2929,3.44,Financial Services
2930,10.46,Information technology and sevices
2931,10.47,Computer Software
2933,3.47,"Human Resources & Staffing,Business Services,Software Development & Design,Software,Accounting & Accounting Services,Engineering Software"
2934,3.44,Banking
2935,4.42,Information Technology and Services
2936,2.45,"Internet Service Providers, Website Hosting & Internet-related Services,Telecommunications,Custom Software & Technical Consulting,Software Development & Design,Business Services,Software,Search Engines & Internet Portals,Media & Internet"
2937,3.41,"Finance,Banking,Investment Banking,Construction"
2938,3.48,Internet
2939,10.47,"Human Resources & Staffing,Business Services,Accounting & Accounting Services"
2942,3.47,Information Technology and Services
2943,3.43,Marketing and Advertising
2944,3.42,Information Technology and Services
2945,10.48,Computer Software
2946,10.51,Entertainment
2947,4.37,Banking
2948,3.44,Government Administration
2949,4.41,Banking
2950,3.44,Computer Software
2951,3.45,Telecommunications
2952,3.47,Computer software
2953,4.4,Staffing and Recruiting
2954,3.48,Veterinary
2955,3.48,Computer Software
2956,3.44,Media Production
2957,3.43,"Search Engines & Internet Portals,Media & Internet,Publishing"
2959,10.46,Public Policy
2960,2.44,Computer Software
2961,3.45,Real Estate
2962,2.46,Semiconductors
2963,3.45,Internet
