,index,0
1047,custom software and technical consulting,840
1048,software,840
1049,human resources,842
1050,health,843
1051, wellness and fitness,843
1052,government administration,844
1053,internet,845
1054,greater pittsburgh area,846
1055,logistics and supply chain,847
1056,e-learning,849
1057,internet,850
1058,information technology and services,851
1059,computer software,852
1060,education management,854
1061,"entertainment
",855
1062,internet,857
1063,computer software,858
1064,information technology and services,859
1065,internet,860
1066,higher education,861
1067,financial services,865
1068,marketing and advertising,868
1069,medical devices and equipment,871
1070,manufacturing,871
1071,information technology and services,872
1072,computer software,873
1073,information technology and services,874
1074,computer software,875
1075,telecommunication equipment,876
1076,manufacturing,876
1077,software development and design,876
1078,software,876
1079,telecommunications,876
1080,"
broadcast media",877
1081,printing,878
1082,computer software,879
1083,hospital and health care,880
1084,computer software,883
1085,libraries,885
1086,computer software,886
1087,software development and design,887
1088,software,887
1089,financial,887
1090, legal and hr software,887
1091,accounting and accounting services,887
1092,business services,887
1093,engineering software,887
1094,computer software,888
1095,software development and design,890
1096,software,890
1097,engineering software,890
1098,business intelligence software(bi),890
1099,enterprise resource planning software(erp),890
1100,music,893
1101,information technology and services,894
1102,internet,895
1103,events services,896
1104,accounting,898
1105,automotive,900
1106,entertainment,901
1107,information technology and services,903
1108,internet,904
1109,infomation tehnologies and services,905
1110,leisure,906
1111," travel and tourism
",906
1112,entertainment,907
1113,staffing and recruiting,908
1114,information technology and services,909
1115,music,910
1116,computer software,911
1117,music instrument,912
1118,internet,913
1119,computer software,915
1120,telecommunications,916
1121,telephony and wireless,916
1122,e-learning,917
1123,computer software,918
1124,information technology and services,919
1125,financial services,921
1126,nonprofit organization management,922
1127,consumer services,923
1128,medical testing and clinical laboratories,924
1129,healthcare,924
1130,goverment administration,925
1131,internet,926
1132,information technology and services,927
1133,computer software,928
1134,information technology and services,929
1135,environmental services,930
1136,computer software,931
1137,computer software,932
1138,telecommunications,934
1139,utilities,935
1140,computer software,936
1141,entertainment,937
1142,accounting,938
1143,marketing and advertising,939
